"This file (cmr-smslareunion-tei-v1-answers.csv) collects the answers to the questionnaire ""cmr-smslareunion-tei-v1-questionnaire.pdf"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;SEXE;AGE;LG_MAT_S;LG_MAT_C;LG_MAT_F;LG_MAT_O;LG_MAT_OTXT;LG_HOME_S;LG_HOME_C;LG_HOME_F;LG_HOME_O;LG_HOME_OTXT;LG_FRIEND_S;LG_FRIEND_C;LG_FRIEND_F;LG_FRIEND_O;LG_FRIEND_OTXT;LG_JOB_S;LG_JOB_C;LG_JOB_F;LG_JOB_O;LG_JOB_OTXT;STUDIES;STUDIES_TYPE;JOB;ZIP_HOME;ZIP_JOB;SMS_TIME;COUNT_WEEK;DICO;CHAT;FORUM;MAIL;WEB;DEST_JEUX;DEST_AMIS;DEST_FAM;DEST_COLL;DEST_O;DEST_OTXT;LG_DEST;LG_DESTF_S;LG_DESTF_C;LG_DESTF_F;LG_DESTF_O;LG_DESTF_OTXT;LG_DESTCON_S;LG_DESTCON_C;LG_DESTCON_F;LG_DESTCON_O;LG_DESTCON_OTXT;LG_DESTFAM_S;LG_DESTFAM_C;LG_DESTFAM_F;LG_DESTFAM_O;LG_DESTFAM_OTXT;LG_DESTCOL_S;LG_DESTCOL_C;LG_DESTCOL_F;LG_DESTCOL_O;LG_DESTCOL_OTXT;LG_DESTO_O;LG_DESTO_OTXT;DECODE;LG_SMS_NO;LG_SMS_FR;LG_SMS_CR;LG_SMS_O;LG_SMS_OTXT;LG_MIX;LG_MIX_S;LG_MIX_C;LG_MIX_F;LG_MIX_O;LG_MIX_OTXT;H_LEC;LEC_T_JOU;LEC_T_BD;LEC_T_WEB;LEC_T_SONG;LEC_T_BOOK;LEC_T_O;LEC_T_OTXT;LEC_CR;LEC_CR_JOU;LEC_CR_BD;LEC_CR_WEB;LEC_CR_SONG;LEC_CR_BOOK;LEC_CR_O;LEC_CR_OTXT;REDAC;REDAC_MOTS;REDAC_TRA;REDAC_JI;REDAC_O;REDAC_OTXT;REDAC_COMMENT;REDAC_CR;REDAC_CR_COMMENT;POB_PARTICIP;POB_COMMENT;FORM_DATE
cmr-slr-c001-p0040;m;25;;yes;;;;;;yes;;;;yes;yes;;;;yes;yes;;;col;g;arti;97480;97480;more5;10to20;yes;tsjours;rare;tsjours;jms;0;3;1;0;0;;yes;;yes;;;;;;yes;;;;yes;;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;1;yes;yes;yes;;;;;yes;;yes;;;;;;yes;yes;;;;;mémo ! au moin une fois par jour;no;;692301061;en creole ou en fraçais et par fois les deux !! j utilise certain abregé pour quelque mot !! ;16/04/2008 06:51
cmr-slr-c001-p0041;m;34;;;yes;;;;;yes;;;;yes;yes;;;;;yes;;;lyc;p;sans;97490;;more5;10to20;no;rare;rare;jms;jms;4;1;2;3;5;LES   RADIO;yes;;;yes;;;;yes;yes;;;;yes;;;;;yes;yes;;;;;diff;;;yes;;;no;;;;;;2;yes;;yes;;;;;no;;;;;;;;no;;;;;;;no;;;JE FAIT   DES SMS  DE MANIERE    CLASIQUE;16/04/2008 08:09
cmr-slr-c001-p0042;m;25;;;yes;;;;yes;;;;;yes;yes;;;;;yes;;;bac3;g;sans;97412;;more5;less5;no;rare;jms;rare;jms;0;2;1;3;0;;yes;;yes;yes;;;;yes;;;;;yes;yes;;;;yes;yes;;;;;moy;;;yes;;;no;;;;;;1;yes;;yes;;;;;no;;;;;;;;yes;yes;;;;;prise de note des cours;no;;;"je rédige mes SMS de la même façon que je parle.
(avec des expressions orales). ";16/04/2008 08:10
cmr-slr-c001-p0043;f;23;;yes;yes;;;;yes;;;;;yes;yes;;;;;yes;;;bac4;g;sans;97490;97490;more5;more100;no;jms;jms;regul;jms;4;1;2;3;0;;yes;;yes;yes;;;;yes;yes;;;;;yes;yes;créole mauricien;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;yes;yes;yes;magasines télévisés;yes;;;;yes;yes;;;yes;yes;yes;;yes;notes de cours, devoirs;cadre scolaire, correspondance entre amis et petit ami, tous les jours;yes;petits mots entre amis, cours (option créole);692167931,1;les abréviations pour le gain de place, gain de temps.;16/04/2008 08:51
cmr-slr-c001-p0044;m;20;;;yes;;;;;yes;;;;yes;yes;;;;;yes;;;bac1;g;sans;97414;;more5;more100;no;regul;regul;tsjours;jms;4;1;3;2;0;;yes;;yes;yes;;;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;6;;;yes;;;yes;mes cours;yes;;;;yes;;;;yes;yes;;;;;pour signifier notre sympathie envers le correspondant;no;;692352529;en venir a l'essentiel le plus rapidement;16/04/2008 09:12
cmr-slr-c001-p0045;f;11;;yes;;;;;yes;;;;;yes;;;;;yes;;;;col;g;cadre;97440;97440;3to5;5to10;no;jms;jms;regul;jms;0;2;1;0;0;;yes;;yes;;;;;;yes;;;;yes;;;;;yes;;;;;;moy;;;yes;;;yes;;yes;yes;;;1;;yes;;;yes;;;yes;;yes;;;;;;no;;;;;;;no;;0692281036,0693936653,0692981168,0692796234,0693049169;non;16/04/2008 11:23
cmr-slr-c001-p0046;f;35;;;yes;;;;;yes;;;;yes;yes;;;;;yes;;;bac3;g;admin;97440;97400;more5;less5;no;regul;jms;tsjours;regul;3;1;4;2;0;;no;;;;;;;;;;;;;;;;;;;;;;;moy;;yes;;;;yes;;yes;yes;;;1;yes;;yes;;yes;;;no;;;;;;;;yes;yes;yes;;yes;prise de notes, rédaction de documents, courriers adminstratifs;tous les jours;no;;0692617146,0692032961,0692824711,0692648924;"selon la longueur du SMS, soit en texte complet si la place le permet, soit avec des abréviations courantes de prise de note, quelques mots en langage SMS
";16/04/2008 11:28
cmr-slr-c001-p0047;m;44;;;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac2;g;enspm;97400;97400;more5;20to50;no;jms;rare;tsjours;jms;0;1;1;5;0;;yes;;yes;yes;;;;;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;2;yes;yes;;;yes;;;yes;;;;;yes;;;yes;;yes;;yes;cahier journal !;"pour le travail ; tous les jours";no;;692793843,1;"rapidement ; pour envoyer une information ; ou en demander.";16/04/2008 12:00
cmr-slr-c001-p0048;f;16;;yes;;;;;yes;;;;;yes;yes;;;;yes;yes;;;lyc;g;sans;97412;97412;1to3;less5;no;jms;jms;rare;jms;2;4;1;3;0;;yes;;yes;yes;;;;yes;yes;;;;yes;;;;;yes;yes;;;;;moy;yes;;;;;yes;;yes;yes;yes;espagnol;1;;;;;yes;yes;harry potter le rouge et le noir candide rhinocéros etc;yes;;;;yes;;;;no;;;;;;;no;;;j'écris des sms en mélangeant des langues et en abrégent exemple Slt cmment i lé?;16/04/2008 13:34
cmr-slr-c001-p0049;f;15;;yes;;;;;yes;yes;;;;;yes;;;;;yes;;;lyc;g;sans;97490;;1to3;10to20;no;rare;jms;rare;jms;0;1;3;0;0;;yes;;yes;yes;yes;allemand anglais;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;;yes;anglais;yes;;;yes;yes;allemand anglais;1;;;;yes;;yes;magazine people !!;no;;;;;;;;yes;yes;;;;;pour faire passer le temps pendant les cours  ;yes;oui avec mes copin(e)s qui parlent créole;692668861;j'essaye de faire attention aux fautes d'orthographes même en écrivant en sms;16/04/2008 13:43
cmr-slr-c001-p0050;m;16;;yes;yes;;;;yes;;;;;yes;;;;;;;yes;Mi travail pa;lyc;g;sans;97441;97441;1to3;10to20;no;tsjours;jms;jms;jms;3;1;2;0;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;yes;;;no;;;;;;2;;;yes;;;yes;des sons, joué balon, aprend lécole.;no;;;;;;;;no;;;;;;;no;;692066552;slt lareunionforscience, ben mi croi ke zot test lé biento fini. é zot koné kwé demain mi sava lécol é mi sorte quatre heur.lé mol i gagne pa écri en chiffre.;16/04/2008 14:21
cmr-slr-c001-p0051;f;23;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac4;g;sans;97421;97490;more5;20to50;no;tsjours;rare;regul;rare;4;1;2;3;0;;yes;;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;5;yes;;yes;;yes;;;yes;yes;;yes;yes;yes;;;yes;yes;;;;;cours;yes;cours;0692206467,0692167931,0692418624;;16/04/2008 14:46
cmr-slr-c001-p0052;f;18;;yes;yes;;;;yes;;;;;yes;;;;;;yes;;;lyc;g;sans;97400;;3to5;10to20;no;rare;jms;jms;jms;0;1;2;2;0;;yes;;yes;;;;;;yes;;;;yes;;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;1;yes;;;;;;;no;;;;;;;;yes;yes;;;;;quand il n'y a rien à faire et que je n'ennuie mais pas tout le temps.;no;;;j'écris en abrégé le plus souvent, vite et j'utilise la fonction abc.;16/04/2008 15:52
cmr-slr-c001-p0053;f;38;;yes;;;;;;yes;;;;yes;yes;;;;yes;yes;;;lyc;g;admin;97411;97460;more5;less5;no;jms;jms;rare;jms;3;2;1;0;0;;yes;;;yes;;;;;yes;;;;yes;;;;;;;yes;aucune;;;diff;yes;;;;;yes;;yes;yes;;;7;yes;;yes;;yes;;;no;;;;;;;;no;;;;;;;no;;;j'essaie d'aller à l'essentiel et de prendre le moins de temps possible;16/04/2008 17:01
cmr-slr-c001-p0054;f;21;;yes;;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac2;g;sans;97427;97400;more5;50to100;yes;regul;rare;regul;rare;4;1;3;2;0;;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;3;yes;;;;yes;;;no;;;;;;;;yes;yes;yes;;;;scolaire , ;no;;;rapide , simple , peu couteux, sympa;16/04/2008 17:19
cmr-slr-c001-p0055;f;19;;yes;;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac1;g;sans;97490;97490;more5;10to20;no;regul;rare;tsjours;jms;4;1;2;5;0;;yes;;yes;yes;yes;anglais et espagnol;;;yes;yes;ANGLAIS ESPAGNOL;;;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;5;yes;;yes;;yes;yes;MANUEL ;no;;;;;;;;yes;yes;;;yes;rédactions, commentaires, synthèses, prise de note...;pour les études et tres régulièrement.;no;;0692549580,0692437490,0692261020,0692907889,0692367429,0692439378,0692063834,0692072943;il y a beaucoup d'abréviation, c'est plus écrit comme on entend qu'avec une véritable orthographe, dans un sms il faut pouvoir dire le plus de chose possible donc on abrege le plus possible aussi. ;16/04/2008 19:45
cmr-slr-c001-p0056;f;46;;;yes;;;;;yes;;;;yes;yes;;;;yes;yes;yes;"anglais 
allemand";bac5;g;proflib;97431;97490;1to3;10to20;no;tsjours;jms;tsjours;jms;4;1;2;3;0;;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;fac;;yes;;;;yes;;yes;yes;;;2;yes;yes;yes;yes;yes;yes;textes pour le travail;yes;yes;yes;yes;yes;yes;;;yes;yes;;;yes;recettes de cuisine;"pour conserver N° de tél et recettes et les petits mots d'amour
Tous les jours ";yes;petits mots d'amour;;Variée adaptée aux destinataires;17/04/2008 05:38
cmr-slr-c001-p0057;m;39;;;yes;;;;;yes;;;;yes;yes;;;;yes;yes;;;bac1;g;comm;97400;97400;more5;50to100;yes;rare;rare;regul;rare;5;2;1;3;4;clients;yes;;;yes;;;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;;;;no;;;;;;4;yes;;yes;;;yes;magazines, pub;no;;;;;;;;yes;yes;;;;;une heure jour;no;;692861708,1;en français, avec logiciel intuitif, et ajout de mots courts, abrév, argot ou créole si absent dans dictionnaire gsm. tous les caracères souvents utilisés, voir sur deux pages.;17/04/2008 08:33
cmr-slr-c001-p0058;f;19;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac;g;sans;97450;97490;1to3;10to20;no;jms;rare;regul;rare;3;1;2;0;0;;yes;;yes;;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;no;;;;;;7;yes;;yes;;yes;yes;des magazines;no;;;;;;;;no;;;;;;;no;;;Plus on écrit en SMS plus on est content de lire les messages. C'est une totale liberté, on invente tous les jours de nouveaux mots pour être le ou la plus original(e) dans la correspondance. C'est comme un code qui n'est déchiffrable que par le groupe qui l'a établi. ;17/04/2008 12:55
cmr-slr-c001-p0059;f;21;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;yes;Anglais;bac3;g;sans;97410;97400;more5;20to50;yes;jms;jms;regul;rare;0;2;1;3;0;;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;yes;anglais;1;yes;;yes;yes;yes;;;yes;;;;yes;;;;yes;yes;yes;;;rédaction de devoirs;dans le cadre du travail scolaire et très souvent;yes;petits mots en famille et entre amis;;je les rédige très vite grâce à l'écriture intuitive. Je fais en sorte qu'ils soient le plus court possible en utilisant des abréviations;17/04/2008 13:03
cmr-slr-c001-p0060;f;22;;;yes;;;;;yes;;;;;yes;;;;;yes;;;bac4;g;sans;97490;97490;more5;5to10;no;rare;jms;tsjours;jms;0;1;3;2;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;;;;yes;;;;yes;anglais;10;yes;;yes;;yes;;;no;;;;;;;;yes;yes;;;;;rédaction des cours;no;;;je les écris de manière phonétique et en abrégé ;17/04/2008 13:13
cmr-slr-c001-p0061;f;24;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;yes;anglais;bac;g;sans;97490;;more5;50to100;yes;rare;jms;regul;rare;4;1;2;3;5;inconnu;yes;;;yes;;;;;yes;;;;yes;;;;;;yes;;;;;moy;;yes;;;;no;;;;;;2;yes;;yes;yes;yes;yes;cours;no;;;;;;;;yes;yes;yes;;yes;cours;"notes de cours; lettres à des amies; notes perso...";no;;;mes SMS sont le plus complet possible (pas de caractéres réduits) sauf s'il le faut (probléme de taille);17/04/2008 16:08
cmr-slr-c001-p0062;f;23;;;yes;;;;yes;;;;;;yes;;;;;yes;;;bac5;g;sans;97470;97400;more5;10to20;yes;tsjours;regul;tsjours;rare;2;1;3;4;5;Jeux par sms;no;;;;;;;;;;;;;;;;;;;;;;;moy;yes;;;;;yes;;;;yes;Anglais;2;yes;;yes;;yes;;;no;;;;;;;;yes;yes;;;yes;"""carnet de bord""";Collecte citations et organisation réflexions, tous les jours;no;;;Le plus rapidement possible, avec beaucoup d'automatismes et de formules récurrentes;17/04/2008 17:38
cmr-slr-c001-p0063;f;23;;yes;;;;;yes;;;;;yes;yes;;;;;yes;;;bac4;g;sans;97410;;more5;10to20;no;jms;jms;tsjours;jms;3;1;2;0;0;;yes;;;yes;;;;;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;;;;yes;;yes;yes;;;3;;;yes;;;;;no;;;;;;;;yes;yes;;;;;"pense bête comme liste de course rdv numéro de téléphone
deux fois par semaine ";no;;692480783;"J'utilise peu le langage sms. J'essaie de respecter au mieux l'orthographe. J'utilise néanmoins des abréviations personnelles, que je rajoute au fur et à mesure dans mon dictionnaire (j'utilise l'ecriture intuitive). En résumé, j'utilise le langage sms après coup, uniquement pour raccourcir mon sms quand je constate que ce que j'ai à dire ne ""rentre"" pas dans un seul texto.";17/04/2008 17:46
cmr-slr-c001-p0064;f;23;;yes;;;;;yes;yes;;;;yes;;;;;;yes;;;bac2;g;sans;97490;;more5;50to100;no;jms;jms;regul;jms;3;2;1;0;0;;yes;;yes;yes;;;;yes;yes;;;;yes;;;;;;yes;;;;;fac;;;yes;;;yes;;yes;yes;;;3;yes;;;;yes;;;yes;;;;yes;;;;yes;yes;yes;;;;régulièrement pour écrire des lettres;yes;oui pour écrire des lettres à mon frère;0692782234,0692809188,0692815371;de la façon la plus courte et plus abrégée possible;17/04/2008 19:09
cmr-slr-c001-p0065;m;28;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;yes;anglais;bac2;g;ouv;97420;97420;more5;5to10;no;regul;regul;tsjours;rare;4;1;2;2;0;;yes;;yes;yes;;;;yes;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;2;yes;;yes;;;;;no;;;;;;;;no;;;;;;;no;;;de maniere compréhensif , surtout rapide, trés abrégé;18/04/2008 04:50
cmr-slr-c001-p0066;m;23;;;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac2;p;admin;97490;97490;3to5;20to50;no;regul;regul;tsjours;jms;4;1;2;3;0;;yes;;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;;;;;yes;;;;yes;;;;no;;;;;;;no;;0692901100,0693002121,;;18/04/2008 06:18
cmr-slr-c001-p0067;f;22;;yes;yes;;;;yes;yes;;;yes;yes;yes;;;;;yes;;;bac2;g;admin;97430;97410;more5;5to10;no;jms;jms;tsjours;rare;4;1;2;3;0;;yes;yes;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;2;yes;;yes;yes;yes;;;yes;;yes;;yes;yes;;;yes;yes;yes;yes;;;J'estime que certains courriers n'ont de valeur que s'ils sont manuscrits et emprunt d'une grande part de soi. ;no;;0692178504,0692665365,0692138742,0692418215,0692410362,0692398817,0692681022,0692743992,0692200570,0692011985,0625867795,0609567844,0692016554,0692697748,0692600314,0692981495,;slt cmt sava? Jsui ErEz  de particpé à cette Xpérienc.Fazon avanC la scienc! aV vs besoin de plus de commtR? ;18/04/2008 06:23
cmr-slr-c001-p0068;f;20;;yes;yes;;;;yes;yes;;;;yes;yes;yes;anglais;;;yes;;;bac1;g;sans;97418;97490;more5;50to100;yes;jms;jms;rare;regul;0;2;1;3;0;;yes;;yes;yes;yes;anglais;;;yes;;;;yes;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;yes;anglais;2;yes;;;yes;yes;;;no;;;;;;;;yes;;;;yes;prise de note des cours;meilleure compréhension des cours tout les jours ;no;;;;18/04/2008 06:41
cmr-slr-c001-p0069;f;22;;;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;lyc;g;comm;97490;97400;more5;20to50;no;tsjours;rare;regul;jms;3;1;2;4;0;;yes;;yes;;;;;;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;;;;;no;;;;;;;;yes;yes;;;;DES COURRIERS FAX MAIL;PROFESSIONNELLES toute la journee  ;no;;0692465980,0692653054,0692765612,0692864972;LE PLUS SIMPLE POSSIBLE ;18/04/2008 07:57
cmr-slr-c001-p0070;f;22;;;yes;;;;yes;;;;;;yes;;;;;yes;;;bac2;g;sans;97490;97490;more5;20to50;yes;jms;jms;regul;jms;0;1;2;3;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;;;;yes;;;;yes;anglais;1;yes;;;;;;;no;;;;;;;;no;;;;;;;no;;;non;18/04/2008 10:33
cmr-slr-c001-p0071;m;18;;yes;yes;;;;yes;yes;;;;yes;;;;;;yes;;;bac;g;sans;97490;47490;more5;10to20;no;jms;jms;regul;regul;4;1;2;3;0;;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;yes;anglais;2;;yes;yes;;yes;;;no;;;;;;;;yes;yes;yes;;;;pour donner de mes nouvelles prendre des nouvelles;no;;;ben j'écris mes sms de façon la plus simple possible de façon à prendre le moins de place de possible;18/04/2008 13:36
cmr-slr-c001-p0072;f;57;;;yes;;;;;yes;;;;;yes;;;;;yes;;;bac5;g;enssec;97421;97424;3to5;less5;no;rare;rare;tsjours;jms;0;2;1;3;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;;;;no;;;;;;6;yes;yes;yes;;yes;yes;Copies d'élèves ,cours de l'universite;no;;;;;;;;yes;yes;yes;;yes;Préparation de cours,révisions ,écriture de textes polémiques;pour ma profession , pour mon plaisir;no;;;Spontanément normalement ,puis en abréviations phonétiques pour gagner du temps et de la place. Sauf quand j'écris à un étranger francophone :dans ce cas j'écris normalement tout le message.;18/04/2008 14:25
cmr-slr-c001-p0073;f;19;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;bac;g;sans;97412;97490;more5;20to50;no;rare;regul;tsjours;rare;0;1;3;2;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;yes;;;yes;;yes;yes;yes;Je mélange le créole te le français à l'Anglais et l'espagnol;3;yes;;yes;yes;yes;;;yes;;;;yes;;;;yes;yes;yes;;yes;SMS;Pour prendre les cours, afin d'aller plus vite;yes;SMS, MSN,chansons;;De manière rapide, avec le moins de lettres possibles, mais compréhensible pour mes contacts.;18/04/2008 15:35
cmr-slr-c001-p0074;f;16;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;lyc;g;sans;97422;97460;more5;20to50;no;regul;regul;regul;jms;2;5;4;3;0;;yes;;yes;;;;;;yes;;;;yes;;;;;;yes;;;;;moy;;yes;;;;yes;;yes;yes;;;3;yes;;yes;;yes;;;yes;yes;yes;;yes;;;;yes;yes;;;;;pour faire passer les petits mots entre amis;yes;j'ecris en créole, chez moi et ausssi en prenant des notes de cours a l'école;692795633;;18/04/2008 17:57
cmr-slr-c001-p0075;m;23;;yes;;;;;;yes;;;;yes;yes;;;;yes;yes;;;bac4;g;sans;97440;;more5;less5;no;jms;rare;regul;jms;3;1;2;0;0;;yes;;yes;;;;;;yes;;;;yes;;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;3;yes;;yes;yes;yes;;;no;;;;;;;;yes;yes;yes;;;;Plaisir d'écrire, tous les jours;no;;;J'écris les sms avec beaucoup d'abréviation, tout en gardant un langage perceptible pour le destinataire ;18/04/2008 18:53
cmr-slr-c001-p0076;f;22;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac3;g;sans;97437;97490;more5;20to50;yes;regul;rare;regul;jms;0;1;2;0;0;;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;;yes;je n'ai pas de collègues vu que je ne travaille pas;;;moy;;yes;yes;;;yes;;yes;yes;;;0;;;;;;;;yes;;yes;;;;;;yes;yes;;;;;pour passer le temps et sans aucune fréquence particulière;no;;;selon le destinataire le sms comprendra ou non des abréviations,il sera écrit en français et/ou en créole.;18/04/2008 20:49
cmr-slr-c001-p0077;f;16;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;lyc;g;sans;97430;97430;more5;50to100;no;regul;rare;regul;jms;0;1;2;3;5;adultes;yes;;;yes;;;;;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;no;;;;;;1;yes;;yes;yes;yes;;;no;;;;;;;;yes;yes;;;yes;lettres;"Tous les jours ; en classe";no;;692268030,1;"Ca depend des personnes; du temps que jai pour ecrire le message; et de la grandeur du mesage. j'écris en entier si il rentre en un message ; sinon j'utilise des abréviations.";18/04/2008 21:11
cmr-slr-c001-p0078;f;22;;yes;yes;;;;yes;;;;;yes;yes;;;;yes;yes;;;bac2;g;comm;97490;97490;more5;20to50;no;tsjours;jms;regul;rare;0;1;3;4;0;;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;3;yes;;yes;;yes;;;no;;;;;;;;yes;yes;;;;;"
";no;;692778901,1;relativemt long et avec beaucoup d'abréviation selon le niveau de compréhension de la personne à qui le sms est destiné;19/04/2008 09:03
cmr-slr-c001-p0079;m;14;;;yes;;;;yes;;;;;yes;;;;;yes;;;;col;g;sans;97490;;more5;5to10;yes;rare;tsjours;rare;jms;1;1;5;0;0;;yes;;yes;;;;;;yes;;;;;yes;;;;yes;;;;;;moy;yes;;;;;yes;;yes;yes;;;2;yes;;yes;yes;;;;no;;;;;;;;yes;;yes;;;;pour apprendre mes leçons;no;;;j' écris mes sms très bien;19/04/2008 13:38
cmr-slr-c001-p0080;f;20;;;yes;;;;;yes;;;;;yes;;;;;yes;;;bac1;g;sans;97430;97490;3to5;10to20;no;jms;jms;regul;jms;0;1;2;0;0;;no;;;;;;;;;;;;;;;;;;;;;;;moy;;yes;yes;;;yes;;yes;yes;;;1;;;yes;yes;yes;yes;des textes scolaire;no;;;;;;;;yes;yes;yes;;yes;cours;mémoriser, donner des nouvelles;no;;;mélange d'abréviations, de bonne orthographe;19/04/2008 16:50
cmr-slr-c001-p0081;f;24;;yes;yes;;;;yes;yes;;;;;yes;;;;;yes;;;bac3;g;sans;97490;97490;more5;10to20;no;rare;rare;regul;rare;3;2;1;4;5;j'sais pas;no;;;;;;;;;;;;;;;;;;;;;;;moy;;yes;yes;;;yes;;yes;yes;yes;anglais;1;;;yes;;yes;;;no;;;;;;;;yes;yes;yes;;;;tous les jours, pour communiquer par voie postale ou faire passer de petite message à mes proches;no;;692019847;Ca dépend à qui j'écris, si c'est quelqu'un habitué au sms ça va etre très abrégé et si non ça va etre bien écrit.;20/04/2008 12:26
cmr-slr-c001-p0082;m;23;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac1;p;sans;97490;;more5;5to10;no;rare;jms;regul;regul;5;1;1;0;0;;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;fac;;yes;;;;yes;;yes;yes;;;2;yes;;yes;yes;;;;yes;;;;;;yes;sms;no;;;;;;;yes;sms;0692623623,0692395342,0692792161;du moment que l'on comprend ce que j'écris dans le texto c'est l'essentiel!!!;20/04/2008 14:20
cmr-slr-c001-p0083;f;20;;;yes;yes;le mahorais;;yes;yes;yes;le mahorais;;;yes;;;;;yes;;;bac2;g;sans;97440;97400;more5;10to20;no;rare;jms;regul;rare;5;2;3;4;1;petit copain;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;yes;le mahorais;1;yes;;yes;;yes;;;yes;yes;;;yes;;;;yes;yes;;yes;;;des petits mots pour me remémorer ce que j'ai à faire dans la journée puis le soir j'écris ce que j'ai fait;yes;surtout pour des expressions bien précises;;j'essais en général de faire le plus court possible à coz du nombre limité des caractères. Les voyelles sautent la plupart du temps et parfois je colle les mots ensemble. ;20/04/2008 14:45
cmr-slr-c001-p0084;f;22;;yes;;;;;;yes;;;;yes;yes;yes;anglais;;;yes;;;bac2;g;sans;97411;97400;more5;20to50;no;rare;rare;regul;rare;4;2;3;5;1;petit ami;yes;;yes;yes;yes;anglais;;;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;3;yes;;yes;yes;yes;yes;mes cours;yes;yes;;;;;;;yes;yes;;;yes;cours;quand je m'ennuie, les courses et les mémos (régulièrement);no;;0692245537,0692814857,0693034944;tout dépend de la personne et du temps que j'ai pour ecrire un sms, mais j'essaye de regroupper le maximum de choses dans un seul message;20/04/2008 16:22
cmr-slr-c001-p0085;f;17;;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;bac;g;sans;97410;97410;more5;5to10;no;rare;regul;tsjours;regul;2;0;3;1;5;cadre professionnel ;yes;;yes;;;;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;;yes;yes;anglais;3;yes;;yes;;yes;;;no;;;;;;;;yes;yes;yes;yes;;;devoir, correspondance ;no;;692127120;une manière très compact ou la morphologie des caractères (minuscule, majuscule , utilisation des chiffres) est très utilisé et où surtout la phonétique des mots joue beaucoup. ;20/04/2008 17:37
